"filename", "language", "JSON", "HTML", "JavaScript", "JSON with Comments", "SCSS", "Markdown", "XML", "comment", "blank", "total"
"/home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/elements/category/_index.scss", "SCSS", 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"/home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/elements/chart/_chart.scss", "SCSS", 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"/home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/elements/chart/_index.scss", "SCSS", 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"/home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/elements/link/_index.scss", "SCSS", 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"/home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/elements/link/_link.scss", "SCSS", 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"/home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/elements/link/_navLink.scss", "SCSS", 0, 0, 0, 0, 13, 0, 0, 0, 2, 15
"/home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/elements/orderStatCard/_index.scss", "SCSS", 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"/home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/elements/orderStatCard/_orderStatCard.scss", "SCSS", 0, 0, 0, 0, 46, 0, 0, 0, 9, 55
"/home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/elements/saleGraph/_index.scss", "SCSS", 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"/home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/elements/saleGraph/_saleGraph.scss", "SCSS", 0, 0, 0, 0, 25, 0, 0, 0, 5, 30
"/home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/elements/tag/_index.scss", "SCSS", 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"/home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/elements/tag/_tag.scss", "SCSS", 0, 0, 0, 0, 16, 0, 0, 0, 2, 18
"/home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/layouts/_contentSection.scss", "SCSS", 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"/home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/layouts/_defaultLayout.scss", "SCSS", 0, 0, 0, 0, 10, 0, 0, 0, 2, 12
"/home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/layouts/_footer.scss", "SCSS", 0, 0, 0, 0, 17, 0, 0, 0, 4, 21
"/home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/layouts/_header.scss", "SCSS", 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"/home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/layouts/_index.scss", "SCSS", 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"/home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/layouts/_main.scss", "SCSS", 0, 0, 0, 0, 10, 0, 0, 0, 2, 12
"/home/mcs/Workspace/js/js-vanilla-practice/src/styles/components/layouts/_navSidebar.scss", "SCSS", 0, 0, 0, 0, 16, 0, 0, 0, 2, 18
"/home/mcs/Workspace/js/js-vanilla-practice/src/styles/pages/_Home.scss", "SCSS", 0, 0, 0, 0, 19, 0, 0, 0, 4, 23
"/home/mcs/Workspace/js/js-vanilla-practice/src/styles/pages/_index.scss", "SCSS", 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"/home/mcs/Workspace/js/js-vanilla-practice/src/utils/index.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"/home/mcs/Workspace/js/js-vanilla-practice/src/utils/money.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 1, 1, 9
"/home/mcs/Workspace/js/js-vanilla-practice/src/utils/number.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 1, 1, 6
"/home/mcs/Workspace/js/js-vanilla-practice/src/view/components/Elements/Breadcrumb/Breadcrumb.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 10, 9, 46
"/home/mcs/Workspace/js/js-vanilla-practice/src/view/components/Elements/Breadcrumb/index.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
